2015-04-19: *, *****, 48, *, 250, 25, 55, 35, BKN, 0.00, 0.00, *****, 48, 10.0, *, 10, 0
2015-02-06: *, *****, 26, *, 250, 23, 27, 5, SCT, 0.00, 0.00, *****, 22, 10.0, *, 11, 4
2015-02-07: *, *****, 36, *, 150, ***, 37, 27, OVC, 0.00, 0.00, 0.00, 33, 10.0, *, 8, 4
2015-02-04: *, *****, 38, *, 120, 28, 39, 31, BKN, 0.00, 0.00, *****, 38, 10.0, *, 14, 6
2015-02-05: *, 0.00, 21, *, 722, 34, 30, -1, SCT, 0.00, 0.00, 0.00, 21, 10.0, *, 23, 5
2015-02-02: *, 0.16, 24, *, 23, 29, 29, 16, OVC, 0.82, 0.00, 0.17, 24, 9.1, *, 22, 9
2015-02-03: *, *****, 24, *, 722, 22, 25, 9, SCT, 0.39, 0.00, 0.16, 23, 10.0, *, 13, 8
2015-02-01: *, 0.01, 35, *, 50, 17, 36, 21, OVC, 0.00, 0.00, 0.01, 34, 10.0, *, 3, 6
2015-02-08: *, *****, 36, *, 7, 21, 41, 31, OVC, 0.00, 0.00, 0.00, 35, 6.0, *, 8, 3
2015-02-09: *, 0.08, 27, *, 15, 25, 28, 20, OVC, 0.07, 0.00, 0.08, 27, 10.0, *, 17, 2
2015-12-30: *, *****, 47, *, 39, ***, 48, 43, OVC, 0.19, 0.00, 0.00, 44, 10.0, *, 10, 0
2015-12-31: *, 0.00, 47, *, 40, 25, 50, 32, OVC, 0.43, 0.00, 0.00, 47, 10.0, *, 11, 0
2015-04-18: *, *****, 57, *, 722, 29, 70, 44, SCT, 0.11, 0.00, 0.00, 57, 10.0, *, 8, 0
2015-05-10: *, *****, 67, *, 722, 26, 74, 61, SCT, 0.02, 0.00, 0.00, 67, 10.0, *, 20, 0
2015-05-11: *, *****, 68, *, 722, 26, 77, 63, SCT, 0.00, 0.00, *****, 68, 9.1, *, 15, 0
2015-09-26: *, *****, 64, *, 260, 24, 72, 51, BKN, 0.00, 0.00, *****, 63, 10.0, *, 8, 0
2015-01-18: *, 0.59, 43, *, 31, 23, 47, 39, OVC, 0.00, 0.07, 0.98, 41, 10.0, *, 0, 0
2015-01-19: *, 0.00, 41, *, 55, 24, 43, 20, BKN, 1.62, 0.00, 0.00, 40, 10.0, *, 18, 0
2015-01-12: *, 0.43, 39, *, 49, ***, 39, 36, OVC, 0.00, 0.00, 0.44, 36, 10.0, *, 6, 1
2015-01-13: *, *****, 21, *, 722, 21, 27, 6, SCT, 0.70, 0.00, 0.01, 21, 10.0, *, 11, 0
2015-01-10: *, *****, 21, *, 722, 21, 24, -1, CLR, 0.03, 0.00, *****, 20, 10.0, *, 16, 1
2015-01-11: *, *****, 36, *, 270, ***, 38, 20, BKN, 0.00, 0.00, *****, 32, 10.0, *, 16, 1
2015-01-16: *, *****, 30, *, 722, 39, 45, 3, SCT, 0.00, 0.00, *****, 30, 10.0, *, 24, 0
2015-01-17: *, *****, 30, *, 260, 28, 30, 14, SCT, 0.00, 0.00, *****, 26, 10.0, *, 13, 0
2015-01-14: *, *****, 31, *, 46, ***, 33, 21, OVC, 0.00, 0.00, *****, 31, 10.0, *, 9, 0
2015-01-15: *, *****, 32, *, 722, 21, 35, 18, SCT, 0.00, 0.00, *****, 31, 10.0, *, 10, 0
2015-05-23: *, 0.00, 57, *, 722, 26, 68, 43, SCT, 0.00, 0.00, 0.00, 57, 10.0, *, 17, 0
2015-05-22: *, 0.00, 69, *, 722, 25, 79, 40, SCT, 0.00, 0.00, 0.00, 68, 10.0, *, 15, 0
2015-05-21: *, 0.00, 54, *, 65, 21, 59, 45, OVC, 0.00, 0.00, 0.00, 54, 10.0, *, 8, 0
2015-05-20: *, *****, 59, *, 250, 25, 66, 33, BKN, 0.00, 0.00, *****, 59, 10.0, *, 14, 0
2015-05-27: *, *****, 64, *, 100, 28, 74, 58, BKN, 0.00, 0.00, *****, 61, 10.0, *, 18, 0
2015-05-26: *, *****, 67, *, 240, 31, 76, 58, BKN, 0.00, 0.00, *****, 67, 10.0, *, 22, 0
2015-05-25: *, *****, 68, *, 250, 30, 77, 56, BKN, 0.00, 0.00, *****, 68, 10.0, *, 21, 0
2015-05-24: *, *****, 64, *, 250, 28, 73, 50, BKN, 0.00, 0.00, *****, 64, 10.0, *, 20, 0
2015-05-29: *, *****, 66, *, 250, ***, 79, 58, BKN, 0.00, 0.00, *****, 66, 10.0, *, 6, 0
2015-05-28: *, 0.00, 71, *, 250, ***, 78, 60, BKN, 0.00, 0.00, 0.00, 68, 10.0, *, 0, 0
2015-09-30: *, 0.00, 67, *, 70, 26, 78, 57, BKN, 0.90, 0.00, 0.04, 67, 10.0, *, 15, 0
2015-01-30: *, 0.01, 29, *, 722, 44, 38, 12, SCT, 0.04, 0.00, 0.01, 29, 10.0, *, 31, 8
2015-06-30: *, *****, 73, *, 722, 22, 80, 65, BKN, 0.00, 0.00, *****, 73, 10.0, *, 13, 0
2015-04-13: *, *****, 57, *, 230, 33, 62, 42, BKN, 0.00, 0.00, *****, 57, 10.0, *, 23, 0
2015-04-12: *, *****, 48, *, 722, 23, 61, 36, SCT, 0.00, 0.00, *****, 48, 10.0, *, 11, 0
2015-04-11: *, *****, 53, *, 722, 24, 60, 24, CLR, 0.01, 0.00, *****, 53, 10.0, *, 18, 0
2015-04-10: *, 0.01, 50, *, 14, 23, 51, 46, OVC, 0.18, 0.00, 0.01, 48, 7.0, *, 6, 0
2015-08-08: *, *****, 75, *, 260, ***, 83, 58, OVC, 0.00, 0.00, *****, 75, 10.0, *, 6, 0
2015-08-09: *, *****, 74, *, 722, 20, 87, 62, SCT, 0.00, 0.00, *****, 74, 10.0, *, 8, 0
2015-04-15: *, *****, 66, *, 250, 21, 72, 16, BKN, 0.04, 0.00, *****, 66, 10.0, *, 8, 0
2015-04-14: *, 0.04, 56, *, 130, ***, 66, 38, OVC, 0.00, 0.00, 0.04, 55, 10.0, *, 0, 0
2015-08-04: *, 0.01, 87, *, 722, 28, 92, 51, SCT, 0.01, 0.00, 0.01, 87, 10.0, *, 14, 0
2015-08-05: *, *****, 83, *, 722, 26, 91, 53, SCT, 0.01, 0.00, *****, 83, 10.0, *, 16, 0
2015-08-06: *, *****, 75, *, 250, 25, 86, 61, BKN, 0.00, 0.00, *****, 75, 10.0, *, 6, 0
2015-08-07: *, *****, 76, *, 722, 17, 84, 56, SCT, 0.00, 0.00, *****, 76, 10.0, *, 10, 0
2015-08-01: *, *****, 86, *, 722, 20, 91, 54, SCT, 0.00, 0.00, *****, 86, 10.0, *, 14, 0
2015-08-02: *, *****, 80, *, 722, 20, 87, 66, SCT, 0.00, 0.00, *****, 80, 10.0, *, 16, 0
2015-08-03: *, *****, 79, *, 250, 33, 89, 72, SCT, 0.00, 0.00, *****, 79, 10.0, *, 18, 0
2015-10-09: *, 0.00, 66, *, 110, 25, 74, 62, BKN, 0.00, 0.11, 0.28, 65, 10.0, *, 11, 0
2015-10-08: *, *****, 62, *, 722, ***, 67, 54, SCT, 0.00, 0.00, *****, 62, 10.0, *, 7, 0
2015-10-07: *, *****, 68, *, 722, ***, 71, 49, CLR, 0.00, 0.00, *****, 66, 10.0, *, 7, 0
2015-10-06: *, *****, 64, *, 250, 17, 74, 48, SCT, 0.00, 0.00, *****, 64, 10.0, *, 0, 0
2015-10-05: *, *****, 60, *, 250, 18, 67, 47, BKN, 0.00, 0.00, *****, 60, 10.0, *, 5, 0
2015-10-04: *, *****, 58, *, 43, 24, 66, 43, SCT, 0.16, 0.00, 0.00, 57, 10.0, *, 8, 0
2015-10-03: *, 0.00, 55, *, 23, 24, 55, 46, OVC, 1.76, 0.00, 0.00, 54, 10.0, *, 18, 0
2015-10-02: *, 0.51, 50, *, 15, 32, 52, 45, OVC, 0.29, 0.10, 0.86, 51, 4.0, *, 22, 0
2015-10-01: *, 0.01, 59, *, 31, 29, 61, 54, OVC, 0.05, 0.01, 0.05, 59, 10.0, *, 13, 0
2015-07-30: *, 0.02, 77, *, 722, 28, 84, 72, OVC, 0.00, 0.00, 0.52, 77, 10.0, *, 13, 0
2015-07-31: *, *****, 87, *, 722, 21, 93, 48, SCT, 0.97, 0.00, 0.51, 84, 10.0, *, 7, 0
2015-03-25: *, 0.02, 41, *, 29, ***, 45, 35, OVC, 0.00, 0.00, 0.03, 39, 10.0, *, 0, 0
2015-03-24: *, *****, 35, *, 722, 20, 43, 24, CLR, 0.00, 0.00, *****, 35, 10.0, *, 7, 0
2015-03-27: *, 0.00, 46, *, 40, 28, 47, 30, OVC, 0.48, 0.00, 0.00, 46, 10.0, *, 13, 0
2015-03-26: *, 0.12, 51, *, 3, 32, 54, 48, OVC, 0.12, 0.00, 0.12, 48, 0.3, *, 18, 0
2015-03-21: *, 0.00, 43, *, 722, ***, 46, 34, SCT, 0.35, 0.00, 0.00, 39, 10.0, *, 11, 1
2015-03-20: *, 0.16, 31, *, 8, 20, 34, 27, OBS, 0.00, 0.03, 0.27, 34, 1.5, *, 13, 3
2015-03-23: *, *****, 35, *, 722, 23, 41, 0, SCT, 0.00, 0.00, *****, 35, 10.0, *, 14, 0
2015-03-22: *, *****, 37, *, 722, 23, 44, 4, CLR, 0.02, 0.00, *****, 37, 10.0, *, 17, 3
2015-03-29: *, 0.00, 37, *, 722, 16, 46, 22, SCT, 0.00, 0.00, 0.00, 36, 10.0, *, 16, 0
2015-03-28: *, 0.00, 35, *, 60, 25, 41, 22, BKN, 0.23, 0.00, 0.00, 35, 10.0, *, 20, 0
2015-11-30: *, *****, 44, *, 75, ***, 50, 34, BKN, 0.00, 0.00, *****, 44, 10.0, *, 9, 0
2015-04-17: *, 0.00, 58, *, 70, 25, 69, 50, SCT, 0.11, 0.00, 0.00, 58, 10.0, *, 0, 0
2015-04-16: *, *****, 50, *, 250, 24, 59, 38, BKN, 0.00, 0.00, *****, 50, 10.0, *, 13, 0
2015-02-19: *, 0.00, 16, *, 722, 30, 23, -4, SCT, 0.00, 0.00, 0.00, 16, 10.0, *, 23, 2
2015-02-18: *, *****, 26, *, 42, ***, 29, 16, SCT, 0.03, 0.00, *****, 25, 10.0, *, 6, 2
2015-02-11: *, *****, 29, *, 190, 25, 35, 15, SCT, 0.00, 0.00, *****, 29, 10.0, *, 6, 1
2015-02-10: *, 0.00, 36, *, 250, 25, 40, 22, BKN, 0.07, 0.00, 0.00, 35, 10.0, *, 18, 2
2015-02-13: *, 0.00, 21, *, 722, 22, 23, -7, SCT, 0.00, 0.00, 0.00, 20, 10.0, *, 14, 1
2015-02-12: *, 0.00, 35, *, 60, 26, 40, 12, OVC, 0.00, 0.00, 0.00, 34, 10.0, *, 20, 1
2015-02-15: *, 0.00, 12, *, 722, 38, 23, -10, CLR, 0.01, 0.00, 0.00, 12, 10.0, *, 25, 1
2015-02-14: *, 0.00, 27, *, 110, 32, 35, 22, OVC, 0.00, 0.00, 0.01, 27, 10.0, *, 6, 1
2015-02-17: *, 0.02, 23, *, 722, ***, 27, 10, SCT, 0.16, 0.00, 0.03, 21, 10.0, *, 0, 3
2015-02-16: *, *****, 21, *, 150, 22, 23, -8, OVC, 0.01, 0.00, *****, 20, 10.0, *, 8, 1
2015-06-02: *, 0.08, 54, *, 9, ***, 56, 50, OVC, 0.35, 0.04, 0.17, 54, 10.0, *, 7, 0
2015-06-03: *, 0.00, 58, *, 250, ***, 65, 49, BKN, 0.26, 0.00, 0.00, 58, 10.0, *, 8, 0
2015-06-01: *, 0.00, 57, *, 7, 21, 60, 53, OVC, 0.53, 0.00, 0.00, 57, 2.5, *, 14, 0
2015-06-06: *, 0.00, 70, *, 260, 23, 79, 55, SCT, 0.20, 0.00, 0.00, 70, 10.0, *, 7, 0
2015-06-07: *, *****, 64, *, 250, ***, 70, 50, BKN, 0.20, 0.00, *****, 64, 10.0, *, 15, 0
2015-06-04: *, *****, 59, *, 190, 25, 66, 48, BKN, 0.00, 0.00, *****, 59, 10.0, *, 13, 0
2015-06-05: *, *****, 61, *, 16, ***, 69, 54, BKN, 0.00, 0.00, 0.00, 61, 10.0, *, 6, 0
2015-06-08: *, 0.00, 68, *, 250, 36, 73, 58, SCT, 0.00, 0.00, 0.00, 68, 10.0, *, 22, 0
2015-06-09: *, 0.00, 82, *, 250, 25, 85, 52, SCT, 0.02, 0.00, 0.00, 73, 10.0, *, 16, 0
2015-12-27: *, 0.00, 62, *, 11, 24, 63, 58, OVC, 0.08, 0.01, 0.00, 58, 7.0, *, 14, 0
2015-12-26: *, 0.00, 51, *, 47, 21, 54, 39, OVC, 0.10, 0.00, 0.00, 51, 10.0, *, 9, 0
2015-12-25: *, 0.01, 59, *, 100, ***, 64, 58, OVC, 0.02, 0.06, 0.05, 59, 3.0, *, 0, 0
2015-12-24: *, 0.01, 60, *, 722, 30, 69, 56, BKN, 1.16, 0.00, 0.01, 60, 10.0, *, 7, 0
2015-12-23: *, 0.12, 60, *, 3, 24, 60, 58, OVC, 0.19, 0.04, 0.91, 57, 2.0, *, 16, 0
2015-12-22: *, 0.04, 59, *, 22, ***, 59, 56, OVC, 0.00, 0.00, 0.05, 55, 10.0, *, 11, 0
2015-12-21: *, *****, 53, *, 80, 24, 55, 46, OVC, 0.00, 0.00, *****, 51, 10.0, *, 10, 0
2015-12-20: *, *****, 41, *, 250, 18, 44, 23, SCT, 0.00, 0.00, *****, 40, 10.0, *, 11, 0
2015-12-29: *, 0.00, 42, *, 7, 18, 48, 39, OVC, 0.52, 0.00, 0.00, 42, 8.0, *, 7, 0
2015-12-28: *, 0.01, 40, *, 38, 23, 44, 21, BKN, 0.01, 0.00, 0.00, 40, 10.0, *, 14, 0
2015-05-30: *, *****, 69, *, 722, 32, 78, 61, SCT, 0.00, 0.00, *****, 69, 10.0, *, 25, 0
2015-01-09: *, 0.03, 31, *, 722, 23, 34, 12, SCT, 0.00, 0.00, 0.03, 29, 10.0, *, 16, 1
2015-01-08: *, *****, 19, *, 722, 22, 22, 3, SCT, 0.00, 0.00, *****, 19, 10.0, *, 16, 1
2015-01-05: *, 0.24, 30, *, 722, 26, 39, 4, SCT, 0.32, 0.00, 0.24, 30, 10.0, *, 22, 0
2015-01-04: *, 0.00, 50, *, 90, 20, 54, 48, OVC, 1.09, 0.00, 0.00, 50, 10.0, *, 7, 0
2015-01-07: *, *****, 15, *, 722, 44, 25, -10, SCT, 0.07, 0.00, 0.00, 15, 10.0, *, 34, 1
2015-01-06: *, 0.00, 21, *, 722, 25, 22, 11, SCT, 0.00, 0.00, 0.00, 21, 10.0, *, 9, 1
2015-01-01: *, *****, 39, *, 722, 29, 40, 17, SCT, 0.00, 0.00, *****, 38, 10.0, *, 18, 0
2015-01-03: *, 0.16, 44, *, 5, 22, 44, 40, OVC, 0.00, 0.12, 0.52, 39, 5.0, *, 16, 0
2015-01-02: *, *****, 40, *, 250, 24, 45, 18, BKN, 0.00, 0.00, *****, 40, 10.0, *, 10, 0
2015-05-16: *, 0.00, 64, *, 160, ***, 69, 57, OVC, 0.01, 0.00, 0.00, 64, 9.1, *, 6, 0
2015-05-17: *, 0.16, 70, *, 250, ***, 81, 62, BKN, 0.40, 0.00, 0.24, 69, 10.0, *, 9, 0
2015-05-14: *, *****, 58, *, 722, 16, 70, 43, SCT, 0.00, 0.00, *****, 58, 10.0, *, 14, 0
2015-05-15: *, *****, 60, *, 250, 25, 71, 46, BKN, 0.00, 0.00, *****, 60, 10.0, *, 21, 0
2015-05-12: *, 0.00, 81, *, 722, ***, 87, 51, SCT, 0.01, 0.00, 0.00, 81, 10.0, *, 17, 0
2015-05-13: *, *****, 60, *, 722, 25, 73, 37, SCT, 0.01, 0.00, *****, 60, 10.0, *, 21, 0
2015-09-29: *, 0.00, 75, *, 36, ***, 80, 70, OVC, 0.04, 0.00, 0.00, 74, 10.0, *, 11, 0
2015-09-28: *, *****, 71, *, 240, ***, 79, 66, BKN, 0.00, 0.00, 0.04, 71, 10.0, *, 7, 0
2015-09-27: *, *****, 65, *, 250, ***, 72, 57, BKN, 0.00, 0.00, *****, 64, 10.0, *, 6, 0
2015-08-31: *, 0.00, 84, *, 250, 23, 91, 67, BKN, 0.00, 0.00, 0.00, 83, 10.0, *, 11, 0
2015-09-25: *, *****, 67, *, 260, 20, 75, 51, BKN, 0.00, 0.00, *****, 67, 10.0, *, 6, 0
2015-09-24: *, *****, 70, *, 250, 18, 83, 59, BKN, 0.00, 0.00, *****, 70, 10.0, *, 0, 0
2015-09-23: *, *****, 66, *, 722, ***, 80, 52, SCT, 0.00, 0.00, *****, 66, 10.0, *, 3, 0
2015-09-22: *, *****, 66, *, 180, ***, 73, 58, OVC, 0.00, 0.00, *****, 66, 10.0, *, 5, 0
2015-05-18: *, *****, 59, *, 27, 22, 62, 51, OVC, 0.00, 0.00, *****, 59, 10.0, *, 11, 0
2015-05-19: *, 0.00, 65, *, 722, ***, 75, 61, SCT, 0.00, 0.00, 0.00, 65, 8.0, *, 8, 0
2015-03-18: *, 0.00, 35, *, 722, 25, 41, 6, SCT, 0.02, 0.00, 0.00, 34, 10.0, *, 18, 0
2015-03-19: *, *****, 40, *, 250, 22, 44, 0, BKN, 0.00, 0.00, *****, 40, 10.0, *, 10, 0
2015-03-14: *, 0.01, 49, *, 23, 28, 49, 45, OVC, 0.19, 0.00, 0.06, 45, 10.0, *, 9, 0
2015-03-15: *, 0.08, 41, *, 44, 38, 45, 24, BKN, 0.92, 0.00, 0.08, 41, 10.0, *, 18, 0
2015-03-16: *, *****, 41, *, 220, 29, 50, 33, BKN, 0.00, 0.00, *****, 41, 10.0, *, 6, 0
2015-03-17: *, 0.02, 39, *, 722, 39, 59, 9, SCT, 0.00, 0.00, 0.02, 39, 10.0, *, 29, 0
2015-03-10: *, 0.00, 44, *, 5, ***, 50, 40, OVC, 0.01, 0.04, 0.12, 44, 6.0, *, 6, 1
2015-03-11: *, 0.24, 51, *, 722, 20, 62, 36, SCT, 0.51, 0.00, 0.01, 51, 10.0, *, 11, 1
2015-03-12: *, *****, 43, *, 722, 25, 50, -4, SCT, 0.02, 0.00, *****, 43, 10.0, *, 17, 0
2015-03-13: *, *****, 39, *, 180, ***, 41, 26, BKN, 0.00, 0.00, *****, 38, 10.0, *, 13, 0
2015-02-20: *, *****, 17, *, 722, 28, 21, -3, CLR, 0.00, 0.00, *****, 17, 10.0, *, 15, 1
2015-02-21: *, 0.02, 30, *, 13, 25, 32, 27, OVC, 0.00, 0.06, 0.14, 28, 0.8, *, 11, 5
2015-02-22: *, 0.02, 36, *, 210, ***, 43, 28, BKN, 0.77, 0.00, 0.02, 35, 10.0, *, 0, 3
2015-02-23: *, *****, 17, *, 722, 29, 26, -8, SCT, 0.02, 0.00, *****, 17, 10.0, *, 24, 3
2015-02-24: *, *****, 26, *, 220, 30, 26, 15, BKN, 0.00, 0.00, *****, 17, 10.0, *, 20, 3
2015-02-25: *, *****, 36, *, 240, 21, 37, 12, BKN, 0.00, 0.00, *****, 35, 10.0, *, 8, 2
2015-02-26: *, *****, 27, *, 85, 22, 28, 13, OVC, 0.00, 0.00, 0.00, 26, 10.0, *, 10, 2
2015-02-27: *, *****, 29, *, 722, 22, 32, 3, SCT, 0.00, 0.00, 0.00, 28, 10.0, *, 10, 1
2015-02-28: *, *****, 27, *, 722, 20, 31, 9, SCT, 0.00, 0.00, *****, 25, 10.0, *, 9, 1
2015-12-18: *, 0.00, 43, *, 60, 30, 47, 21, BKN, 1.17, 0.00, 0.00, 43, 10.0, *, 23, 0
2015-12-19: *, *****, 39, *, 70, 29, 41, 16, BKN, 0.01, 0.00, 0.00, 39, 10.0, *, 22, 0
2015-09-21: *, *****, 68, *, 170, 17, 72, 44, BKN, 0.00, 0.00, *****, 68, 10.0, *, 6, 0
2015-04-26: *, *****, 52, *, 80, ***, 59, 33, BKN, 0.00, 0.00, *****, 52, 10.0, *, 13, 0
2015-04-27: *, *****, 59, *, 80, 26, 63, 31, BKN, 0.00, 0.00, *****, 59, 10.0, *, 17, 0
2015-04-24: *, *****, 45, *, 722, 37, 52, 17, SCT, 0.00, 0.00, 0.00, 45, 10.0, *, 29, 0
2015-04-25: *, *****, 49, *, 722, 25, 59, 36, SCT, 0.00, 0.00, *****, 49, 10.0, *, 6, 0
2015-04-22: *, 0.16, 53, *, 90, 47, 63, 46, OVC, 0.02, 0.00, 0.19, 53, 10.0, *, 14, 0
2015-04-23: *, *****, 47, *, 60, 30, 54, 19, BKN, 0.19, 0.00, 0.00, 44, 10.0, *, 21, 0
2015-08-19: *, *****, 79, *, 722, 21, 86, 72, SCT, 0.00, 0.00, *****, 79, 10.0, *, 11, 0
2015-08-18: *, *****, 79, *, 722, 25, 86, 72, SCT, 0.00, 0.00, *****, 79, 10.0, *, 20, 0
2015-08-17: *, *****, 80, *, 722, 24, 91, 68, SCT, 0.00, 0.00, 0.00, 80, 10.0, *, 13, 0
2015-08-16: *, 0.00, 79, *, 722, ***, 90, 68, SCT, 0.00, 0.00, 0.00, 79, 10.0, *, 8, 0
2015-08-15: *, *****, 79, *, 722, ***, 88, 66, SCT, 0.00, 0.00, *****, 79, 10.0, *, 16, 0
2015-08-14: *, *****, 77, *, 722, ***, 85, 62, SCT, 0.00, 0.00, *****, 77, 10.0, *, 15, 0
2015-08-13: *, *****, 77, *, 722, 21, 87, 60, SCT, 0.00, 0.00, 0.00, 77, 10.0, *, 13, 0
2015-09-20: *, *****, 69, *, 722, 24, 80, 43, SCT, 0.00, 0.00, *****, 69, 10.0, *, 16, 0
2015-08-11: *, 0.35, 76, *, 722, 23, 81, 67, SCT, 0.77, 0.00, 0.00, 75, 10.0, *, 13, 0
2015-08-10: *, *****, 76, *, 95, 21, 81, 64, BKN, 0.00, 0.00, *****, 75, 10.0, *, 10, 0
2015-12-16: *, *****, 49, *, 31, 24, 53, 40, SCT, 0.09, 0.00, *****, 47, 10.0, *, 3, 0
2015-12-17: *, 0.51, 58, *, 3, 26, 58, 55, OVC, 0.05, 0.00, 0.99, 57, 2.0, *, 3, 0
2015-10-30: *, *****, 54, *, 722, 23, 63, 28, CLR, 0.06, 0.00, *****, 53, 10.0, *, 15, 0
2015-10-31: *, *****, 53, *, 160, 25, 53, 41, BKN, 0.00, 0.00, *****, 52, 10.0, *, 7, 0
2015-07-21: *, *****, 79, *, 250, ***, 89, 71, BKN, 0.00, 0.00, *****, 79, 10.0, *, 10, 0
2015-07-20: *, *****, 82, *, 250, ***, 95, 72, SCT, 0.00, 0.00, *****, 82, 10.0, *, 8, 0
2015-07-23: *, *****, 76, *, 722, 22, 88, 61, SCT, 0.00, 0.00, *****, 76, 10.0, *, 6, 0
2015-07-22: *, 0.00, 82, *, 250, 23, 89, 47, SCT, 0.00, 0.00, 0.00, 82, 10.0, *, 16, 0
2015-07-25: *, *****, 77, *, 722, ***, 84, 65, SCT, 0.00, 0.00, *****, 77, 10.0, *, 11, 0
2015-07-24: *, *****, 77, *, 722, 16, 85, 57, SCT, 0.00, 0.00, *****, 76, 10.0, *, 9, 0
2015-07-27: *, 0.00, 78, *, 250, 26, 85, 69, SCT, 0.00, 0.00, 0.00, 78, 10.0, *, 11, 0
